4	[-15, 1]	[31, 18]	[32, 17]	[33, 16]	[34, 15]	
4	[-15, 2]	[31, 17]	[32, 16]	[33, 15]	[34, 14]	
4	[-14, -23]	[32, 40]	[33, 39]	
4	[-14, -22]	[31, 40]	[32, 39]	[33, 38]	
4	[-14, -21]	[30, 40]	[31, 39]	[32, 38]	[33, 37]	
4	[-14, -20]	[30, 39]	[31, 38]	[32, 37]	[33, 36]	
4	[-14, -19]	[30, 38]	[31, 37]	[32, 36]	[33, 35]	
4	[-14, -18]	[30, 37]	[31, 36]	[32, 35]	[33, 34]	
4	[-14, -17]	[30, 36]	[31, 35]	[32, 34]	[33, 33]	
4	[-14, -16]	[30, 35]	[31, 34]	[32, 33]	[33, 32]	
4	[-14, -15]	[30, 34]	[31, 33]	[32, 32]	[33, 31]	
4	[-14, -14]	[30, 33]	[31, 32]	[32, 31]	[33, 30]	
4	[-14, -13]	[30, 32]	[31, 31]	[32, 30]	[33, 29]	
4	[-14, -12]	[30, 31]	[31, 30]	[32, 29]	[33, 28]	
4	[-14, -11]	[30, 30]	[31, 29]	[32, 28]	[33, 27]	
4	[-14, -10]	[30, 29]	[31, 28]	[32, 27]	[33, 26]	
4	[-14, -9]	[30, 28]	[31, 27]	[32, 26]	[33, 25]	
4	[-14, -8]	[30, 27]	[31, 26]	[32, 25]	[33, 24]	
4	[-14, -7]	[30, 26]	[31, 25]	[32, 24]	[33, 23]	
4	[-14, -6]	[30, 25]	[31, 24]	[32, 23]	[33, 22]	
4	[-14, -5]	[30, 24]	[31, 23]	[32, 22]	[33, 21]	
4	[-14, -4]	[30, 23]	[31, 22]	[32, 21]	[33, 20]	
4	[-14, -3]	[30, 22]	[31, 21]	[32, 20]	[33, 19]	
4	[-14, -2]	[30, 21]	[31, 20]	[32, 19]	[33, 18]	
4	[-14, -1]	[30, 20]	[31, 19]	[32, 18]	[33, 17]	
4	[-14, 0]	[30, 19]	[31, 18]	[32, 17]	[33, 16]	
4	[-14, 1]	[30, 18]	[31, 17]	[32, 16]	[33, 15]	
4	[-14, 2]	[30, 17]	[31, 16]	[32, 15]	[33, 14]	
4	[-13, -23]	[31, 40]	[32, 39]	
4	[-13, -22]	[30, 40]	[31, 39]	[32, 38]	
4	[-13, -21]	[29, 40]	[30, 39]	[31, 38]	[32, 37]	
4	[-13, -20]	[29, 39]	[30, 38]	[31, 37]	[32, 36]	
4	[-13, -19]	[29, 38]	[30, 37]	[31, 36]	[32, 35]	
4	[-13, -18]	[29, 37]	[30, 36]	[31, 35]	[32, 34]	
4	[-13, -17]	[29, 36]	[30, 35]	[31, 34]	[32, 33]	
4	[-13, -16]	[29, 35]	[30, 34]	[31, 33]	[32, 32]	
4	[-13, -15]	[29, 34]	[30, 33]	[31, 32]	[32, 31]	
4	[-13, -14]	[29, 33]	[30, 32]	[31, 31]	[32, 30]	
4	[-13, -13]	[29, 32]	[30, 31]	[31, 30]	[32, 29]	
4	[-13, -12]	[29, 31]	[30, 30]	[31, 29]	[32, 28]	
4	[-13, -11]	[29, 30]	[30, 29]	[31, 28]	[32, 27]	
4	[-13, -10]	[29, 29]	[30, 28]	[31, 27]	[32, 26]	
4	[-13, -9]	[29, 28]	[30, 27]	[31, 26]	[32, 25]	
4	[-13, -8]	[29, 27]	[30, 26]	[31, 25]	[32, 24]	
4	[-13, -7]	[29, 26]	[30, 25]	[31, 24]	[32, 23]	
4	[-13, -6]	[29, 25]	[30, 24]	[31, 23]	[32, 22]	
4	[-13, -5]	[29, 24]	[30, 23]	[31, 22]	[32, 21]	
4	[-13, -4]	[29, 23]	[30, 22]	[31, 21]	[32, 20]	
4	[-13, -3]	[29, 22]	[30, 21]	[31, 20]	[32, 19]	
4	[-13, -2]	[29, 21]	[30, 20]	[31, 19]	[32, 18]	
4	[-13, -1]	[29, 20]	[30, 19]	[31, 18]	[32, 17]	
4	[-13, 0]	[29, 19]	[30, 18]	[31, 17]	[32, 16]	
4	[-13, 1]	[29, 18]	[30, 17]	[31, 16]	[32, 15]	
4	[-12, -23]	[30, 40]	[31, 39]	
4	[-12, -22]	[29, 40]	[30, 39]	[31, 38]	
4	[-12, -21]	[28, 40]	[29, 39]	[30, 38]	[31, 37]	
4	[-12, -20]	[28, 39]	[29, 38]	[30, 37]	[31, 36]	
4	[-12, -19]	[28, 38]	[29, 37]	[30, 36]	[31, 35]	
4	[-12, -18]	[28, 37]	[29, 36]	[30, 35]	[31, 34]	
4	[-12, -17]	[28, 36]	[29, 35]	[30, 34]	[31, 33]	
4	[-12, -16]	[28, 35]	[29, 34]	[30, 33]	[31, 32]	
4	[-12, -15]	[28, 34]	[29, 33]	[30, 32]	[31, 31]	
4	[-12, -14]	[28, 33]	[29, 32]	[30, 31]	[31, 30]	
4	[-12, -13]	[28, 32]	[29, 31]	[30, 30]	[31, 29]	
4	[-12, -12]	[28, 31]	[29, 30]	[30, 29]	[31, 28]	
4	[-12, -11]	[28, 30]	[29, 29]	[30, 28]	[31, 27]	
4	[-12, -10]	[28, 29]	[29, 28]	[30, 27]	[31, 26]	
4	[-12, -9]	[28, 28]	[29, 27]	[30, 26]	[31, 25]	
4	[-12, -8]	[28, 27]	[29, 26]	[30, 25]	[31, 24]	
4	[-12, -7]	[28, 26]	[29, 25]	[30, 24]	[31, 23]	
4	[-12, -6]	[28, 25]	[29, 24]	[30, 23]	[31, 22]	
4	[-12, -5]	[28, 24]	[29, 23]	[30, 22]	[31, 21]	
4	[-12, -4]	[28, 23]	[29, 22]	[30, 21]	[31, 20]	
4	[-12, -3]	[28, 22]	[29, 21]	[30, 20]	[31, 19]	
4	[-12, -2]	[28, 21]	[29, 20]	[30, 19]	[31, 18]	
4	[-12, -1]	[28, 20]	[29, 19]	[30, 18]	[31, 17]	
4	[-12, 0]	[28, 19]	[29, 18]	[30, 17]	[31, 16]	
4	[-12, 1]	[28, 18]	[29, 17]	[30, 16]	[31, 15]	
4	[-11, -23]	[29, 40]	[30, 39]	
4	[-11, -22]	[28, 40]	[29, 39]	[30, 38]	
4	[-11, -21]	[27, 40]	[28, 39]	[29, 38]	[30, 37]	
4	[-11, -20]	[27, 39]	[28, 38]	[29, 37]	[30, 36]	
4	[-11, -19]	[27, 38]	[28, 37]	[29, 36]	[30, 35]	
4	[-11, -18]	[27, 37]	[28, 36]	[29, 35]	[30, 34]	
4	[-11, -17]	[27, 36]	[28, 35]	[29, 34]	[30, 33]	
4	[-11, -16]	[27, 35]	[28, 34]	[29, 33]	[30, 32]	
4	[-11, -15]	[27, 34]	[28, 33]	[29, 32]	[30, 31]	
4	[-11, -14]	[27, 33]	[28, 32]	[29, 31]	[30, 30]	
4	[-11, -13]	[27, 32]	[28, 31]	[29, 30]	[30, 29]	
4	[-11, -12]	[27, 31]	[28, 30]	[29, 29]	[30, 28]	
4	[-11, -11]	[27, 30]	[28, 29]	[29, 28]	[30, 27]	
4	[-11, -10]	[27, 29]	[28, 28]	[29, 27]	[30, 26]	
4	[-11, -9]	[27, 28]	[28, 27]	[29, 26]	[30, 25]	
4	[-11, -8]	[27, 27]	[28, 26]	[29, 25]	[30, 24]	
4	[-11, -7]	[27, 26]	[28, 25]	[29, 24]	[30, 23]	
4	[-11, -6]	[27, 25]	[28, 24]	[29, 23]	[30, 22]	
4	[-11, -5]	[27, 24]	[28, 23]	[29, 22]	[30, 21]	
4	[-11, -4]	[27, 23]	[28, 22]	[29, 21]	[30, 20]	
4	[-11, -3]	[27, 22]	[28, 21]	[29, 20]	[30, 19]	
4	[-11, -2]	[27, 21]	[28, 20]	[29, 19]	[30, 18]	
4	[-11, -1]	[27, 20]	[28, 19]	[29, 18]	[30, 17]	
4	[-11, 0]	[27, 19]	[28, 18]	[29, 17]	[30, 16]	
4	[-11, 1]	[27, 18]	[28, 17]	[29, 16]	[30, 15]	
4	[-10, -23]	[28, 40]	[29, 39]	
4	[-10, -22]	[27, 40]	[28, 39]	[29, 38]	
4	[-10, -21]	[26, 40]	[27, 39]	[28, 38]	[29, 37]	
4	[-10, -20]	[26, 39]	[27, 38]	[28, 37]	[29, 36]	
4	[-10, -19]	[26, 38]	[27, 37]	[28, 36]	[29, 35]	
4	[-10, -18]	[26, 37]	[27, 36]	[28, 35]	[29, 34]	
4	[-10, -17]	[26, 36]	[27, 35]	[28, 34]	[29, 33]	
4	[-10, -16]	[26, 35]	[27, 34]	[28, 33]	[29, 32]	
4	[-10, -15]	[26, 34]	[27, 33]	[28, 32]	[29, 31]	
4	[-10, -14]	[26, 33]	[27, 32]	[28, 31]	[29, 30]	
4	[-10, -13]	[26, 32]	[27, 31]	[28, 30]	[29, 29]	
4	[-10, -12]	[26, 31]	[27, 30]	[28, 29]	[29, 28]	
4	[-10, -11]	[26, 30]	[27, 29]	[28, 28]	[29, 27]	
4	[-10, -10]	[26, 29]	[27, 28]	[28, 27]	[29, 26]	
4	[-10, -9]	[26, 28]	[27, 27]	[28, 26]	[29, 25]	
4	[-10, -8]	[26, 27]	[27, 26]	[28, 25]	[29, 24]	
4	[-10, -7]	[26, 26]	[27, 25]	[28, 24]	[29, 23]	
4	[-10, -6]	[26, 25]	[27, 24]	[28, 23]	[29, 22]	
